Inventario,Autore,Ambito culturale,Datazione,Titolo,Materiali,Immagine
3379/C,,bottega di Luca della Robbia,XV,,terracotta maiolicata,http://93.62.170.226/foto/M0001415.jpg
3380/C,,bottega di Andrea della Robbia,ca. 1490 - ca. 1490,imperatore Antonino Pio,terracotta maiolicata,http://93.62.170.226/foto/M0001416.jpg
3383/C,,ambito piemontese,sec. XVIII,personaggi cinesi,scagliola dipinta,http://93.62.170.226/foto/M0001419.jpg
3386/C,,fabbrica ligure,sec. XVIII,paesaggio,maiolica dipinta,http://93.62.170.226/foto/M0001422.jpg
3389/C-a,,manifattura torinese,XIX,Isabella di Capua Gonzaga,terracotta invetriata - legno,http://93.62.170.226/foto/M0001425.jpg
3389/C-b,,manifattura torinese,XIX,Isotta Malatesta,terracotta invetriata - legno,http://93.62.170.226/foto/M0001426.jpg
3390/C,,fabbrica ligure,NULL,paesaggio con viandanti e scritta,maiolica,http://93.62.170.226/foto/M0001427.jpg
3392/C,,fabbrica di Vinovo,XIX,testa di Vestale,biscuit - marmo,http://93.62.170.226/foto/M0001429.jpg
0603/D,,pittore fiammingo,XVIII,veduta della Senna a Parigi dal Pont Neuf - con statua equestre di Enrico IV,olio su tela,http://93.62.170.226/foto/M0001503.jpg
0604/D,,pittore fiammingo,XVIII,veduta della Senna a Parigi col Pont Neuf,olio su tela,http://93.62.170.226/foto/M0001504.jpg
0607/D,,pittore olandese,XVII,fiori in boccia di vetro,olio su tavola trasferito su tela,http://93.62.170.226/foto/M0001507.jpg
0608/D,,pittore olandese,XVII,fiori in boccia di vetro,olio su tavola trasferito su tela,http://93.62.170.226/foto/M0001508.jpg
0610/D,,pittore piemontese,ca. 1640 - ca. 1640,ritratto di Cristina di Francia con i figli,olio su tela,http://93.62.170.226/foto/M0001510.jpg
0611/D,,pittore piemontese,XVI,ritratto di Carlo Emanuele I con la moglie Caterina d'Austria e i figli,olio su tela,http://93.62.170.226/foto/M0001511.jpg
0691/D,,pittore olandese,XVIII,natura morta con fiori - frutta e selvaggina,olio su tela,http://93.62.170.226/foto/M0001592.jpg
0691/D,,pittore italiano settentrionale,XVIII,natura morta con fiori - frutta e selvaggina,olio su tela,http://93.62.170.226/foto/M0001592.jpg
0694/D,,pittore lombardo,XVIII,Salomone adora gli idoli,olio su tela applicata su tavola,http://93.62.170.226/foto/M0001595.jpg
0695/D,,pittore lombardo,XVIII,Santo monaco visitato da un angelo,olio su tela,http://93.62.170.226/foto/M0001596.jpg
0696/D,,pittore francese,XVII,ritratto di Giovanna Battista di Savoia-Nemours,olio su tela,http://93.62.170.226/foto/M0001597.jpg
0697/D,,maniera di Michele Marieschi,XVIII,veduta di Venezia con la Riva degli Schiavoni,olio su tela,http://93.62.170.226/foto/M0001598.jpg
0700/D,,pittore ignoto,XVII,ritratto di Giovanna Battista di Savoia-Nemours,olio su tela,http://93.62.170.226/foto/M0001601.jpg
0703/D,,pittore emiliano,XVI,ritratto maschile,olio su tela,http://93.62.170.226/foto/M0001604.jpg
0704/D,,pittore fiammingo,XVIII,marina,olio su tavola,http://93.62.170.226/foto/M0001605.jpg
0709/D,,maniera di Federico Barocci,1563 - 1563,ritratto di gentiluomo a tre quarti di figura,olio su tela,http://93.62.170.226/foto/M0001610.jpg
0713/D,,seguace di Giovanni Michele Graneri,XVIII,molo e città,olio su tela,http://93.62.170.226/foto/M0001614.jpg
0716/D,,cerchia di Lorenzo Pecheux,XVIII,Apollo e Dafne,olio su tavola,http://93.62.170.226/foto/M0001617.jpg
0721/D,,maestro vercellese,XV,Madonna col Bambino - Santo Eusebio - Sant'Apollonia - San Alberto Carmelitano - Santa Caterina - donatori,olio su tavola,http://93.62.170.226/foto/M0001622.jpg
0733/D,,scuola di Claudio Beaumont,XVIII,,olio su tela,http://93.62.170.226/foto/M0001633.jpg
0747/D,,pittore ignoto,1927 - 1928,Semele e Giove,olio su compensato,http://93.62.170.226/foto/M0001648.jpg
0764/D,,maniera di Michele Antonio Rapous,XVIII,fiori e frutti / vaso istoriato,olio su tela,http://93.62.170.226/foto/M0001665.jpg
0767/D,Buffi Giovanni Luigi (?),pittore torinese,XVII,Maria Giovanna Battista di Savoia Nemours,olio su tela,http://93.62.170.226/foto/M0001668.jpg
0773/D,,pittore ignoto,XVII,natura morta,olio su tela,http://93.62.170.226/foto/M0001674.jpg
0775/D,,pittore ignoto,XVII,albero genealogico della Famiglia Tana,tempera su carta incollata su tela,http://93.62.170.226/foto/M0001676.jpg
0776/D,,pittore piemontese,XVIII,gentiluomo a figura intera Giuseppe Pasquale Fenocchio magistrato,olio su tela applicata su tavola,http://93.62.170.226/foto/M0001677.jpg
2403/C,,manifattura di Savona,XVII,stemma della famoglia Provana,maiolica,http://93.62.170.226/foto/M0001689.jpg
2408/C,,manifattura di Savona,1707 - 1707,Flagellazione di Cristo,maiolica,http://93.62.170.226/foto/M0001694.jpg
2411/C,Boselli Giacomo,manifattura di Savona,XVIII,case ed alberi,terraglia,http://93.62.170.226/foto/M0001697.jpg
2412/C,,manifattura di Savona,XVIII,albero e uccelli,maiolica,http://93.62.170.226/foto/M0001698.jpg
2415/C,Ratti Giovanni Agostino,manifattura di Savona,XVIII,Santi Evangelisti Marco e Luca,maiolica,http://93.62.170.226/foto/M0001701.jpg
2416/C,,fabbrica di Napoli,XVIII,battaglia navale,maiolica,http://93.62.170.226/foto/M0001702.jpg
2418/C,Lolli Antonio,manifattura di Castelli,XVIII,caccia alla lepre,maiolica,http://93.62.170.226/foto/M0001704.jpg
2419/C,,fabbrica di Castelli - Abruzzo,XVII,,maiolica,http://93.62.170.226/foto/M0001705.jpg
2421/C,,manifattura Gentili,XVII,stazione della via Crucis: Cristo cade sotto la croce,maiolica,http://93.62.170.226/foto/M0001707.jpg
2423/C,Gentile Berardino,fabbrica di Castelli - Abruzzo,XVIII,Maria Vergine con Bambino,terraglia,http://93.62.170.226/foto/M0001709.jpg
2425/C,Grue Carlo Antonio,fabbrica di Castelli - Abruzzo,XVIII,paesaggio,maiolica,http://93.62.170.226/foto/M0001711.jpg
2427/C,,fabbrica degli Abruzzi,XVII,scena di caccia e contadino,maiolica,http://93.62.170.226/foto/M0001713.jpg
2432/C,Grue Carlo Antonio,fabbrica degli Abruzzi,XVIII,fiori - frutti - puttini e stemma,maiolica,http://93.62.170.226/foto/M0001718.jpg
2433/C,Grue Carlo Antonio,fabbrica degli Abruzzi,XVII/XVIII,paesaggio lacustre / tre puttini / stemma,maiolica,http://93.62.170.226/foto/M0001719.jpg
2436/C,Grue Carlo Antonio,fabbrica degli Abruzzi,XVIII,la Carità,maiolica,http://93.62.170.226/foto/M0001722.jpg
2438/C,Grue Carlo Antonio,fabbrica degli Abruzzi,XVII/XVIII,l'Abbondanza,maiolica,http://93.62.170.226/foto/M0001724.jpg
2439/C,Grue Carlo Antonio,fabbrica degli Abruzzi,XVII/XVIII,il bacio di Diana ad Endimione,maiolica,http://93.62.170.226/foto/M0001725.jpg
2440/C,Grue Carlo Antonio,fabbrica degli Abruzzi,XVII/XVIII,paesaggio,maiolica,http://93.62.170.226/foto/M0001726.jpg
2444/C,Grue Francesco Saverio,fabbrica di Castelli - Abruzzo,XVIII,donna che allatta bambino su sfondo di paesaggio,maiolica,http://93.62.170.226/foto/M0001730.jpg
2445/C,Grue Francesco Saverio,fabbrica di Castelli - Abruzzo,XVIII,contadino con cesto di frutta su sfondo di paesaggio,maiolica,http://93.62.170.226/foto/M0001731.jpg
2446/C,Grue Carlo Antonio,fabbrica di Castelli - Abruzzo,XVII/XVIII,putti e scene pastorali,maiolica,http://93.62.170.226/foto/M0001732.jpg
2449/C,,fabbrica degli Abruzzi,XVIII,cinque bambini all'altalena,maiolica,http://93.62.170.226/foto/M0001735.jpg
2453/C,,fabbrica di Castelli - Abruzzo,XVIII,scene mitologiche e divinità marine,maiolica,http://93.62.170.226/foto/M0001739.jpg
2457/C,,fabbrica di Napoli,XVIII,pesci e frutti marini,maiolica,http://93.62.170.226/foto/M0001743.jpg
2458/C,Grue Carlo Antonio,fabbrica degli Abruzzi,XVII/XVIII,fatti della sacra scrittura,maiolica,http://93.62.170.226/foto/M0001744.jpg
2459/C,,manifattura ignota,XVIII,scena galante,maiolica,http://93.62.170.226/foto/M0001745.jpg
2461/C,,fabbrica Reale di Napoli,XVIII,animali,porcellana,http://93.62.170.226/foto/M0001747.jpg
2461/C,,Periodo Venuti (1780-1800),XVIII,animali,porcellana,http://93.62.170.226/foto/M0001747.jpg
2462/C,,Napoli - Real Fabbrica,XVIII,Colosseo di Roma,porcellana,http://93.62.170.226/foto/M0001748.jpg
2462/C,,Periodo Venuti (1780-1800),XVIII,Colosseo di Roma,porcellana,http://93.62.170.226/foto/M0001748.jpg
2463/C,,Napoli - Real Fabbrica,XVIII,Teseo e il minotauro,porcellana,http://93.62.170.226/foto/M0001749.jpg
2463/C,,Periodo Venuti (1780-1800),XVIII,Teseo e il minotauro,porcellana,http://93.62.170.226/foto/M0001749.jpg
2464/C,,Real fabbrica Ferdinandea,XVIII,Marte - putti e due divinità,porcellana,http://93.62.170.226/foto/M0001750.jpg
2465/C,,manifattura Giustiniani - Napoli,XVIII,delfini e teste di donna,terraglia,http://93.62.170.226/foto/M0001751.jpg
2466/C,,Napoli - Real Fabbrica,XVIII,cammei e architetture,porcellana,http://93.62.170.226/foto/M0001752.jpg
2467/C,,fabbrica Delvecchio - Napoli,XVIII,un giovane che sorregge un vecchio e un musico con una danzatrice,terraglia,http://93.62.170.226/foto/M0001753.jpg
2468/C,,Napoli - Real Fabbrica,XIX,uccello sopra un albero / fiori,porcellana,http://93.62.170.226/foto/M0001754.jpg
2469/C,,Napoli - Real Fabbrica,XVIII,uccelli / personaggi in costumi balcanici,porcellana,http://93.62.170.226/foto/M0001755.jpg
2469/C,,Periodo Venuti (1780-1800),XVIII,uccelli / personaggi in costumi balcanici,porcellana,http://93.62.170.226/foto/M0001755.jpg
2470/C,,Napoli - Real Fabbrica,XVIII,un signore - una signora - una bambina - un cane,porcellana,http://93.62.170.226/foto/M0001756.jpg
2470/C,,Periodo Venuti-Nicolas,XVIII,un signore - una signora - una bambina - un cane,porcellana,http://93.62.170.226/foto/M0001756.jpg
2471/C,,Napoli - Real Fabbrica,XVIII,un signore - una signora - un bambino - un cane,porcellana,http://93.62.170.226/foto/M0001757.jpg
2472/C,,Napoli - Real Fabbrica,XVIII,fortezza,porcellana,http://93.62.170.226/foto/M0001758.jpg
2473/C,,Real fabbrica Ferdinandea,XVIII,fiori,porcellana,http://93.62.170.226/foto/M0001759.jpg
2473/C,,Periodo Perez,XVIII,fiori,porcellana,http://93.62.170.226/foto/M0001759.jpg
2474/C,,fabbrica di Napoli,XVIII,famiglia napoletana,porcellana,http://93.62.170.226/foto/M0001760.jpg
2475/C,,Napoli - Real Fabbrica,XVIII,mazzo di fiori / fiori / foglie,porcellana,http://93.62.170.226/foto/M0001761.jpg
2476/C,,Napoli - Real Fabbrica,XIX,veduta di Pozzuoli,porcellana,http://93.62.170.226/foto/M0001762.jpg
2477/C,,Doccia - manifattura Ginori,XVIII,personaggio in costume,porcellana,http://93.62.170.226/foto/M0001763.jpg
2478/C,,Doccia - manifattura Ginori,XVIII,figura femminile in abito di Arlecchino,porcellana,http://93.62.170.226/foto/M0001764.jpg
2480/C,,manifattura Ginori - Doccia,XVIII,figura maschile in abito di Arlecchino,porcellana,http://93.62.170.226/foto/M0001766.jpg
2482/C,Gricci Giuseppe,fabbrica di Capodimonte,XVIII,due maschere italiane,porcellana,http://93.62.170.226/foto/M0001768.jpg
2483/C,,Napoli - Real Fabbrica,XIX,veduta del Castel dell'Ovo,porcellana,http://93.62.170.226/foto/M0001769.jpg
2483/C,,Periodo Venuti-Nicolas,XIX,veduta del Castel dell'Ovo,porcellana,http://93.62.170.226/foto/M0001769.jpg
2488/C,,manifattura Ginori - Doccia,XVIII,centauro che rapisce due donne,porcellana,http://93.62.170.226/foto/M0001773.jpg
2489/C,,fabbrica Reale di Napoli,XIX,due Muse,porcellana,http://93.62.170.226/foto/M0001774.jpg
2493/C,,manifattura Ginori - Doccia,XVIII,due putti nudi seduti,porcellana,http://93.62.170.226/foto/M0001778.jpg
2494/C,,manifattura di le Nove - Antonibon,ca. 1795 - ca. 1805,quattro personaggi e un cavallo ai piedi di un albero,porcellana,http://93.62.170.226/foto/M0001779.jpg
2496/C,,manifattura Ginori - Doccia,XVIII,putto in groppa ad un centauro,porcellana,http://93.62.170.226/foto/M0001781.jpg
2496/C,,Periodo Ginori Lorenzo (1757-1791),XVIII,putto in groppa ad un centauro,porcellana,http://93.62.170.226/foto/M0001781.jpg
2498/C,Tagliolini Filippo,Napoli - Real Fabbrica,XVIII/XIX,Ercole e Iole,biscuit,http://93.62.170.226/foto/M0001783.jpg
2499/C,,Doccia - manifattura Ginori,XVIII,Bacco e Arianna,porcellana,http://93.62.170.226/foto/M0001784.jpg
2499/C,,Periodo Ginori Carlo (1737-1757),XVIII,Bacco e Arianna,porcellana,http://93.62.170.226/foto/M0001784.jpg
2500/C,,Doccia - manifattura Ginori,XVIII,mazzo di fiori / fiori / foglie,porcellana,http://93.62.170.226/foto/M0001785.jpg
2502/C,,fabbrica di Capodimonte,XVII,,porcellana,http://93.62.170.226/foto/M0001787.jpg
2503/C,,fabbrica di Capodimonte,XVIII,frutti di mare / uomo e donna,porcellana,http://93.62.170.226/foto/M0001788A.jpg
2505/C,,Napoli - Real Fabbrica,XVIII/XIX,leone - leonessa e serpente,porcellana,http://93.62.170.226/foto/M0001790.jpg
2505/C,,Periodo Venuti-Nicolas,XVIII/XIX,leone - leonessa e serpente,porcellana,http://93.62.170.226/foto/M0001790.jpg
2506/C,Tagliolini Filippo,Napoli - Real Fabbrica,XVIII,Ercole che fila / il Trionfo di Venere,biscuit,http://93.62.170.226/foto/M0001791.jpg
2507/C,Tagliolini Filippo,Napoli - Real Fabbrica,XVIII,fiume Sebeto,biscuit,http://93.62.170.226/foto/M0001792.jpg
2508/C,,Madrid - Real Fabbrica del Buen Retiro,XVIII,scene bacchiche,porcellana bianca,http://93.62.170.226/foto/M0001793A.jpg
2514/C,,fabbrica di Milano,XVIII,donna con rocca e fuso,maiolica,http://93.62.170.226/foto/M0001799.jpg
2514/C,,manifattura di Felice Clerici,XVIII,donna con rocca e fuso,maiolica,http://93.62.170.226/foto/M0001799.jpg
2518/C,,fabbrica di Milano,XVIII,fanciulla,maiolica,http://93.62.170.226/foto/M0001803.jpg
2518/C,,manifattura Felice Clerici - Milano,XVIII,fanciulla,maiolica,http://93.62.170.226/foto/M0001803.jpg
2526/C,,fabbrica di Milano,XVIII,figura cinese,maiolica,http://93.62.170.226/foto/M0001811.jpg
2526/C,,manifattura di Felice Clerici,XVIII,figura cinese,maiolica,http://93.62.170.226/foto/M0001811.jpg
2529/C,,fabbrica di Milano,XVIII,donna,maiolica,http://93.62.170.226/foto/M0001814.jpg
2529/C,,manifattura Felice Clerici - Milano,XVIII,donna,maiolica,http://93.62.170.226/foto/M0001814.jpg
2530/C,,fabbrica di Milano,XVIII,fanciulla,maiolica,http://93.62.170.226/foto/M0001815.jpg
2530/C,,manifattura Felice Clerici - Milano,XVIII,fanciulla,maiolica,http://93.62.170.226/foto/M0001815.jpg
2532/C,,fabbrica di Milano,XVIII,figura cinese,maiolica,http://93.62.170.226/foto/M0001817.jpg
2532/C,,manifattura Felice Clerici - Milano,XVIII,figura cinese,maiolica,http://93.62.170.226/foto/M0001817.jpg
2533/C,,fabbrica di Milano,XVIII,figura cinese,maiolica,http://93.62.170.226/foto/M0001818.jpg
2533/C,,manifattura Felice Clerici - Milano,XVIII,figura cinese,maiolica,http://93.62.170.226/foto/M0001818.jpg
2534/C,,fabbrica di Milano,XVIII,,maiolica,http://93.62.170.226/foto/M0001819.jpg
2534/C,,manifattura Felice Clerici - Milano,XVIII,,maiolica,http://93.62.170.226/foto/M0001819.jpg
2535/C,,fabbrica di Milano,XVIII,figura cinese,maiolica,http://93.62.170.226/foto/M0001820.jpg
2535/C,,manifattura Felice Clerici - Milano,XVIII,figura cinese,maiolica,http://93.62.170.226/foto/M0001820.jpg
2536/C,,fabbrica di Milano,XVIII,contadino,maiolica,http://93.62.170.226/foto/M0001821.jpg
2536/C,,manifattura Felice Clerici - Milano,XVIII,contadino,maiolica,http://93.62.170.226/foto/M0001821.jpg
2537/C,,fabbrica di Milano,XVIII,giovane ambulante,maiolica,http://93.62.170.226/foto/M0001822.jpg
2537/C,,manifattura Felice Clerici - Milano,XVIII,giovane ambulante,maiolica,http://93.62.170.226/foto/M0001822.jpg
2540/C,,fabbrica di Milano,XVIII,,maiolica,http://93.62.170.226/foto/M0001825.jpg
2540/C,,manifattura Pasquale Rubati - Milano,XVIII,,maiolica,http://93.62.170.226/foto/M0001825.jpg
2556/C,,fabbrica di Milano,XVIII,signore e signora,maiolica,http://93.62.170.226/foto/M0001841.jpg
2556/C,,manifattura di Felice Clerici,XVIII,signore e signora,maiolica,http://93.62.170.226/foto/M0001841.jpg
2566/C,,fabbrica di Milano,XVIII,vasi - cigni - fiori,maiolica,http://93.62.170.226/foto/M0001851.jpg
2566/C,,manifattura di Felice Clerici,XVIII,vasi - cigni - fiori,maiolica,http://93.62.170.226/foto/M0001851.jpg
2567/C,Baroni,Antonibon,1802 - 1820,fatti mitologici,terraglia,http://93.62.170.226/foto/M0001852.jpg
2568/C,Ortolani Paolo,manifattura di le Nove - Antonibon,XVIII,fiori - uccelli e frutti,porcellana,http://93.62.170.226/foto/M0001853.jpg
2569/C,,fabbrica di Sceaux,XVIII,paese - uccelli,porcellana,http://93.62.170.226/foto/M0001854.jpg
2570/C,,manifattura di Le Nove,XVIII,puttini entro medaglioni,porcellana,http://93.62.170.226/foto/M0001855.jpg
2570/C,,manifattura Antonibon 1752-1825,XVIII,puttini entro medaglioni,porcellana,http://93.62.170.226/foto/M0001855.jpg
2571/C,,fabbrica Marinoni Angarano - Bassano,XVIII,stemmi e scritta,maiolica,http://93.62.170.226/foto/M0001856.jpg
2573/C,Baroni,Antonibon,ca. 1800 - ca. 1820,fatti mitologici e ritratti napoleonici,terraglia,http://93.62.170.226/foto/M0001858.jpg
2573/C,Baroni,Antonibon,ca. 1800 - ca. 1820,fatti mitologici e ritratti napoleonici,terraglia,http://93.62.170.226/foto/M0001858.jpg
2574/C,,fabbrica di Urbania,XVII,Madonna di Loreto e iscrizione,maiolica,http://93.62.170.226/foto/M0001859.jpg
2579/C,,manifattura Costa Fabris - Este,1792 - 1792,il Tempo,terraglia,http://93.62.170.226/foto/M0001864.jpg
2582/C,,fabbrica Terchi - Roma,XVIII,paesaggi e fiori,maiolica,http://93.62.170.226/foto/M0001867.jpg
2583/C,,fabbrica Terchi - Roma,XVIII,frutta - foglie e puttini,maiolica,http://93.62.170.226/foto/M0001868.jpg
2584/C,,manifattura Sebellin - Vicenza,XVIII,Cibele,terraglia,http://93.62.170.226/foto/M0001869.jpg
2595/C,,fabbrica di Strasbourg,XVIII,,maiolica,http://93.62.170.226/foto/M0001880.jpg
2596/C,,manifattura di Le Nove,1574 - 1574,,maiolica,http://93.62.170.226/foto/M0001881.jpg
2600/C,,manifattura Franchini - Este,XVIII,,terraglia,http://93.62.170.226/foto/M0001885.jpg
2602/C,,manifattura Cozzi - Venezia,XVIII,la famiglia del Cipriani,porcellana,http://93.62.170.226/foto/M0001887.jpg
2603/C,,manifattura Cozzi - Venezia,XVIII,ninfe al bagno,porcellana,http://93.62.170.226/foto/M0001888.jpg
2606/C,,manifattura Cozzi - Venezia,XVIII,fanciullo seduto,porcellana,http://93.62.170.226/foto/M0001891.jpg
2607/C,,manifattura di Geminiano Cozzi,XVIII,bambino e bambina,porcellana,http://93.62.170.226/foto/M0001892.jpg
2609/C,,manifattura Cozzi - Venezia,XVIII,donna con bambino,porcellana,http://93.62.170.226/foto/M0001894.jpg
2610/C,,manifattura di Le Nove,XVIII,fiori e paese,porcellana,http://93.62.170.226/foto/M0001895.jpg
2612/C,,fabbrica di Venezia,XVIII,Diogene,porcellana,http://93.62.170.226/foto/M0001897.jpg
2612/C,,manifattura Cozzi - Venezia,XVIII,Diogene,porcellana,http://93.62.170.226/foto/M0001897.jpg
2613/C,,Antonibon,XVIII,due guerrieri,porcellana bianca,http://93.62.170.226/foto/M0001898A.jpg
2616/C,,manifattura Cozzi - Venezia,XVIII,bambino e bambina,porcellana bianca,http://93.62.170.226/foto/M0001901.jpg
2620/C,,fabbrica di Venezia,XVIII,,porcellana,http://93.62.170.226/foto/M0001905.jpg
2621/C,,manifattura Cozzi - Venezia,NULL,,NULL,http://93.62.170.226/foto/M0001906.jpg
2622/C,,manifattura Cozzi - Venezia,XVIII,draghi azzurri,porcellana,http://93.62.170.226/foto/M0001907.jpg
2623/C,,manifattura d'Este,XVIII,Venezia,porcellana,http://93.62.170.226/foto/M0001908.jpg
2631/C,,manifattura Cozzi - Venezia,XVIII,,porcellana,http://93.62.170.226/foto/M0001916.jpg
2635/C,,fabbrica di Venezia (?),XVIII,Andromeda allo scoglio,porcellana bianca,http://93.62.170.226/foto/M0001920.jpg
2636/C,,manifattura d'Este,XVIII,Venere e Vulcano,porcellana bianca,http://93.62.170.226/foto/M0001921.jpg
2637/C,,manifattura d'Este,XVIII,Venere appare ad Enea ed Acate,porcellana bianca,http://93.62.170.226/foto/M0001922.jpg
2638/C,,manifattura Du Paquier - Vienna,XVIII,,porcellana,http://93.62.170.226/foto/M0001923.jpg
2639/C,,manifattura Cozzi - Venezia,XVIII,paesi,porcellana,http://93.62.170.226/foto/M0001924.jpg
2643/C,,fabbrica di Venezia,XVIII,Ercole,porcellana bianca,http://93.62.170.226/foto/M0001928.jpg
